product_id,name,category,price,stock_quantity
119,Premium Pan,Home & Kitchen,259.3,468
120,Portable Watering Can,Garden,343.82,142
121,Compact Cable,Electronics,272.54,77
122,Smart Board Game,Toys,306.0,173
123,Eco Dress,Clothing,347.56,363
124,Pro Desk Organizer,Office,362.58,175
125,Ultra Doll,Toys,32.47,97
126,Compact Whiteboard,Office,135.51,10
127,Portable Plant Pot,Garden,382.23,430
128,Compact Puzzle,Toys,255.27,494
129,Portable Scissors,Office,496.24,21
130,Ultra Notebook,Office,489.63,366
131,Advanced Gloves,Clothing,50.86,429
132,Pro Serum,Beauty,50.48,348
133,Eco Scale,Home & Kitchen,54.63,171
134,Deluxe Solar Light,Garden,172.56,24
135,Ultra Biography,Books,124.28,336
136,Classic Gloves,Clothing,329.82,16
137,Compact Shampoo,Beauty,77.64,160
138,Advanced Gloves,Sports,340.67,243
139,Deluxe Tire Gauge,Automotive,357.03,151
140,Premium Seat Cover,Automotive,341.05,347
141,Pro Knife Set,Home & Kitchen,224.68,32
142,Eco Serum,Beauty,412.32,293
143,Pro Workbook,Books,139.79,448
144,Eco Oil Filter,Automotive,70.47,208
145,Pro Toaster,Home & Kitchen,353.05,295
146,Premium Lego Set,Toys,119.88,6
147,Eco Knife Set,Home & Kitchen,371.23,154
148,Ultra Webcam,Electronics,245.65,284
149,Premium Dash Cam,Automotive,453.89,264
150,Premium Lego Set,Toys,464.42,26
151,Pro Puzzle,Toys,201.13,122
152,Premium Lego Set,Toys,26.79,374
153,Classic Watering Can,Garden,136.66,4
154,Portable Binder,Office,64.74,440
155,Advanced Yoga Mat,Sports,298.22,84
156,Pro Headphones,Electronics,75.87,69
157,Advanced Monitor,Electronics,172.79,352
158,Compact Backpack,Sports,286.37,356
159,Smart Desk Organizer,Office,429.45,294
160,Eco Blender,Home & Kitchen,29.52,366
161,Eco Plant Pot,Garden,70.86,495
162,Smart Wiper Blade,Automotive,467.55,338
163,Deluxe Planner,Books,490.83,302
164,Premium Toaster,Home & Kitchen,146.49,285
165,Deluxe Whiteboard,Office,463.24,115
166,Classic Hose,Garden,280.93,322
167,Classic Solar Light,Garden,299.65,178
168,Portable Journal,Books,145.28,429
169,Smart Toner,Beauty,490.27,80
170,Advanced Toaster,Home & Kitchen,78.96,252
171,Compact Notebook,Office,160.87,208
172,Premium Doll,Toys,484.91,209
173,Eco Jeans,Clothing,158.25,216
174,Compact Headphones,Electronics,151.68,442
175,Eco Scale,Home & Kitchen,12.94,100
176,Classic Comic,Books,254.46,13
177,Smart Hoodie,Clothing,342.04,34
178,Pro Air Freshener,Automotive,214.46,414
179,Smart Socks,Clothing,31.71,269
180,Advanced Car Mat,Automotive,189.84,91
181,Deluxe Serum,Beauty,108.55,302
182,Deluxe Textbook,Books,285.75,28
183,Deluxe Lego Set,Toys,110.83,348
184,Compact Workbook,Books,31.94,370
185,Classic Tool Kit,Automotive,467.12,40
186,Advanced Solar Light,Garden,201.94,493
187,Eco Eye Cream,Beauty,111.33,169
188,Classic Card Game,Toys,121.35,451
189,Advanced Textbook,Books,135.6,343
190,Compact Watering Can,Garden,275.73,3
191,Compact Novel,Books,387.14,496
192,Compact Gloves,Sports,401.64,45
193,Deluxe Seeds,Garden,428.49,412
194,Advanced Jeans,Clothing,86.15,308
195,Eco Textbook,Books,124.74,97
196,Advanced Vacuum,Home & Kitchen,110.29,349
197,Pro Pillow,Home & Kitchen,499.15,207
198,Deluxe Moisturizer,Beauty,97.09,287
199,Smart Pan,Home & Kitchen,382.73,417
200,Compact Stuffed Animal,Toys,310.57,303
